doc,generator,real_length_ratio,synthetic_length_ratio,real_split_rate,real_merge_rate,synthetic_split_rate,synthetic_merge_rate,real_substitution_prop,real_deletion_prop,real_insertion_prop,synthetic_substitution_prop,synthetic_deletion_prop,synthetic_insertion_prop
Современост 7,random_edit_noise,1.0072236341617344,1.013219165231037,0.00117407639323732,0.0010436234606553956,0.03173154642400855,0.02964566005266863,0.09268986441642173,0.4456243481558737,0.46168578742770455,0.3298155821334089,0.3276501966131642,0.3425342212534269
Pesni,confusion_matrix_noise,0.8985899327758649,0.9953271028037384,0.0,0.0012447099825740602,0.05606432879160152,0.04846995756086665,0.06813712066518958,0.4967263312504668,0.43513654808434366,0.15234317614220655,0.4255031585132951,0.42215366534449833
Prezir,confusion_matrix_noise,1.003435570199068,1.0156617601273517,0.0009542602057320308,0.0011321731254447824,0.003337505214851898,0.0027919514778087995,0.02960983961336876,0.4833444652174801,0.4870456951691512,0.10838584881283914,0.4406168355775028,0.45099731560965806
Samecot,confusion_matrix_noise,0.9767569086097023,0.999970428636908,0.001054419776228692,0.0016402085408001874,0.002186421173762946,0.0015822784810126582,0.10588546908936801,0.45954865709593684,0.43456587381469514,0.15098567642416844,0.4245183288168905,0.42449599475894106
Toj,confusion_matrix_noise,0.9829753032295777,0.9349335086950168,0.0010955302366345311,0.0006573181419807187,0.047651309846431796,0.044715447154471545,0.07960289908033376,0.4743894268834886,0.4460076740361776,0.1871651743902896,0.4397782190087289,0.37305660660098156
dnevnik_po_mnogu_godini,confusion_matrix_noise,1.0005126638888282,1.0158544034555728,0.004936403271718372,0.0074946852592512525,0.001130302709194306,0.0011656246688566282,0.47399644057741747,0.2537077318568321,0.27229582756575044,0.491991441876075,0.24180895246885095,0.26619960565507406
itar_pejo,confusion_matrix_noise,1.128693039559339,1.015909829656766,0.001522740933680625,0.0011220196353436186,0.05072430230943676,0.049659832461702226,0.1008962385739496,0.3769357365217219,0.5221680249043286,0.0979607018114826,0.44575722529915324,0.4562820728893642
sina_pesna,confusion_matrix_noise,1.025261758351338,0.9994681735083929,0.0010826416456153013,0.0007217610970768675,0.009628345850182938,0.011939148854226844,0.028076863634021947,0.47943605859220717,0.4924870777737709,0.18742009716185118,0.4065456405011506,0.4060342623369982
tajnopis,confusion_matrix_noise,1.1111198448881203,1.0106377403972122,0.0011635423400129282,0.00038784744667097606,0.0705571071586065,0.06511833014846391,0.015751695992267348,0.454167934558863,0.5300803694488696,0.33113870077752694,0.32806621519939805,0.340795084023075
viktor_kupidon,confusion_matrix_noise,1.0235472285924452,1.0051577171044093,0.00031357792411414236,0.0002613149367617853,0.02697606201875229,0.02519511811848515,0.6876344086021505,0.051689708141321046,0.2606758832565284,0.1272652267436721,0.4346111913251024,0.4381235819312255
